Gene	Cytoband	CNA	#	Freq	Cases	Gistic
ZNF217	20q13.2	AMP	26	10.12%	TCGA-A6-2670-01,TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-3598-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-A01D-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
TSHZ2	20q13.2	AMP	24	9.34%	TCGA-A6-2670-01,TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
EIF4EBP1	8p12	AMP	7	2.72%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01Z-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01	
ASH2L	8p11.2	AMP	7	2.72%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01Z-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01	
WHSC1L1	8p11.2	AMP	8	3.11%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01,TCGA-AZ-4681-01	
FGFR1	8p11.23-p11.22	AMP	8	3.11%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01,TCGA-AZ-4681-01	
PREX2	8q13.2	AMP	3	1.17%	TCGA-A6-2677-01,TCGA-AA-A01S-01,TCGA-AG-3594-01	
NCOA2	8q13.3	AMP	3	1.17%	TCGA-A6-2677-01,TCGA-AF-3913-01,TCGA-AA-A01S-01	
TCEB1	8q21.11	AMP	5	1.95%	TCGA-A6-2677-01,TCGA-AF-3913-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AA-3555-01	
MYC	8q24.21	AMP	11	4.28%	TCGA-A6-2677-01,TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AG-A02X-01,TCGA-AA-3664-01,TCGA-AA-3870-01,TCGA-AG-3902-01,TCGA-AA-3488-01,TCGA-AG-A01Y-01,TCGA-AZ-4684-01	
